Date,Timestamp ,Value
24-May,20200524162,26029
24-May,20200524161,26022
24-May,20200524160,26021
24-May,20200524159,26016
24-May,20200524158,26021
24-May,20200524157,26017
24-May,20200524156,26015
24-May,20200524155,26014
24-May,20200524154,26006
24-May,20200524153,26022
24-May,20200524152,26019
24-May,20200524151,26013
24-May,20200524150,26015
24-May,20200524149,26000
24-May,20200524148,26007
24-May,20200524147,26008
24-May,20200524146,26003
24-May,20200524145,26001
24-May,20200524144,26009
24-May,20200524143,26008
24-May,20200524142,26015
24-May,20200524141,26007
24-May,20200524140,26004
24-May,20200524139,26006
24-May,20200524138,26029
24-May,20200524137,26039
24-May,20200524136,26046
24-May,20200524135,26047
24-May,20200524134,26044
24-May,20200524133,26049
24-May,20200524132,26065
24-May,20200524131,26052
24-May,20200524130,26056
24-May,20200524129,26077
24-May,20200524128,26063
24-May,20200524127,26058
24-May,20200524126,26066
24-May,20200524125,26065
24-May,20200524124,26075
24-May,20200524123,26081
24-May,20200524122,26071
24-May,20200524121,26061
24-May,20200524120,26060
24-May,20200524119,26050
24-May,20200524118,26043
24-May,20200524117,26037
24-May,20200524116,26025
24-May,20200524115,26031
24-May,20200524114,26036
24-May,20200524113,26039
24-May,20200524112,26037
24-May,20200524111,26029
24-May,20200524110,26028
24-May,20200524109,26042
24-May,20200524108,26041
24-May,20200524107,26027
24-May,20200524106,26038
24-May,20200524105,26052
24-May,20200524104,26031
24-May,20200524103,26031
24-May,20200524102,26027
24-May,20200524101,26034
24-May,20200524100,26034
24-May,20200524099,26038
24-May,20200524098,26040
24-May,20200524097,26020
24-May,20200524096,26022
24-May,20200524095,26026
24-May,20200524094,26013
24-May,20200524093,26037
24-May,20200524092,26059
24-May,20200524091,26065
24-May,20200524090,26079
24-May,20200524089,26074
24-May,20200524088,26072
24-May,20200524087,26085
24-May,20200524086,26094
24-May,20200524085,26092
24-May,20200524084,26094
24-May,20200524083,26090
24-May,20200524082,26087
24-May,20200524081,26078
24-May,20200524080,26064
24-May,20200524079,26060
24-May,20200524078,26066
24-May,20200524077,26078
24-May,20200524076,26071
24-May,20200524075,26080
24-May,20200524074,26077
24-May,20200524073,26073
24-May,20200524072,26072
24-May,20200524071,26082
24-May,20200524070,26071
24-May,20200524069,26068
24-May,20200524068,26062
24-May,20200524067,26056
24-May,20200524066,26054
24-May,20200524065,26047
24-May,20200524064,26045
24-May,20200524063,26032
24-May,20200524062,26019
24-May,20200524061,26023
24-May,20200524060,26033
24-May,20200524059,26025
24-May,20200524058,26034
24-May,20200524057,26043
24-May,20200524056,26052
24-May,20200524055,26056
24-May,20200524054,26054
24-May,20200524053,26067
